,Unnamed: 0,days,dates,Japan,Germany,France,India,UK,South Korea,Taiwan,Mainland China,US,Iran,Total Risk
0,1,41,2020-03-02,0.0014339863641293687,0.0006426792119578272,0.0,9.16151351368788e-07,0.0,5.595070243073375e-07,0.0011395917992446114,0.03202127558577211,0.007832413444278373,0.13443057802056818,0.22956357020453885
1,2,42,2020-03-03,0.001565085980836538,0.0008596646723296413,0.0009918545741630887,1.2878681481602587e-06,0.0,5.919307251379771e-07,0.0011438869598187887,0.030032752126198464,0.011260717578351327,0.15727050437251824,0.25820490918073746
2,3,43,2020-03-04,0.0017081711435228727,0.001149910149731308,0.0,1.8104043230058771e-06,0.0,6.262333950072203e-07,0.0007793144224465979,0.027653165608185797,0.0161381719484699,0.18399096328963208,0.2896925255082731
3,4,44,2020-03-05,0.0018643376091099192,0.0015381501590285718,0.0,2.5449529266178507e-06,0.0,6.625239210734607e-07,0.0011525259078050958,0.025230864221480725,0.022883669495577647,0.2152512621951133,0.32957120659933015
4,5,45,2020-03-06,0.0020347813121192344,0.002057470239976964,0.0024379499245744574,3.5775353142922133e-06,0.0,7.009175005582251e-07,0.0007852000186610684,0.03012579325361863,0.0330560628297973,0.2518227256827471,0.3875439354958345
5,6,46,2020-03-07,0.0022208075232287797,0.0027521264835836065,0.0,5.029074915745844e-06,0.0,7.415360064173685e-07,0.00116123009949548,0.021669452281978994,0.04672527465059686,0.2946077273767917,0.4381415742335277
6,7,47,2020-03-08,0.002423840845133805,0.0036813170049677427,0.004440269204313719,7.069558309360189e-06,0.0,7.845083742030805e-07,0.0011656068155654017,0.023257603228307996,0.0661744497551366,0.3446619553290954,0.5188106173842169
7,8,48,2020-03-09,0.0026454361222612538,0.004924226764977078,0.0,9.937941972779653e-06,0.0,8.29971011344735e-07,0.0011700000276282931,0.018799398563990516,0.09633505688415017,0.4032204603355326,0.6043333207524397
8,9,49,2020-03-10,0.0028872903478851675,0.006586775656699861,0.008087118774688635,1.3970135945207796e-05,0.0,8.780682301477697e-07,0.0011744097978581135,0.017631954594738465,0.13850160952104454,0.004717281298945667,0.2613046605366459
9,10,50,2020-03-11,0.0031512556598286092,0.008810644924045352,0.0,1.9638341505932488e-05,0.0,9.289527058850434e-07,0.0008001092113843222,0.016234921074015862,0.19849203872118543,0.005518753397301644,0.31946641229781
10,11,51,2020-03-12,0.003439353524274243,0.011785351137418257,0.0,2.7606349617229515e-05,0.0,9.82785961434817e-07,0.001183279262686974,0.014812810043841615,0.28145853359987916,0.0064563966255384705,0.41061156603840626
11,12,52,2020-03-13,0.003753790216304139,0.01576439666217677,0.01987790460452614,3.8807276009457256e-05,0.0,1.0397388800037356e-06,0.0008061518555469981,0.017686578191244803,0.40657425910028117,0.007553346631985041,0.5688029392094255
12,13,53,2020-03-14,0.00409697371572004,0.02108687295140633,0.0,5.455283629148436e-05,0.0,1.0999922475623653e-06,0.0011922157121463182,0.012721937607423213,0.5746992320331347,0.00883666984107587,0.7250427353292322
13,14,54,2020-03-15,0.004471532147533548,0.028206357680380267,0.03620388047025605,7.668695805189338e-05,0.0,1.1637373267151074e-06,0.0011967092140529848,0.01365432652927759,0.8139150757031768,0.010338031297215654,1.0163483603628316
14,15,55,2020-03-16,0.004880333908344819,0.0377295683161257,0.0,0.00010780171912291308,0.0,1.23117646382615e-06,0.0012012196521224464,0.011036955271226027,1.1848765710461588,0.012094475976166932,1.366487898082731
15,16,56,2020-03-17,0.005326509632739154,0.050468066152027875,0.06593858795389003,0.00015154090005749674,0.0,1.3025237313287337e-06,0.001205747090187679,0.010351559574845674,1.7035056342056332,0.014149342842236767,1.9722968239156835
16,17,57,2020-03-18,0.005813476167921741,0.06750741698883625,0.0,0.00021302669917585014,0.0,1.3780056072563686e-06,0.0008214588768064418,0.009531373948793125,2.4413601219206527,0.016553334204943922,2.6700236330632525
17,18,58,2020-03-19,0.006344962740190204,0.09029970228652125,0.0,0.0002994595818326266,0.0,1.4578616941534765e-06,0.0012148532228412252,0.008696465545882014,3.4618095734822254,0.019365766760744595,3.7236848169070655
